task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.5,2.2723667353391646,1.5566274672746658,0.001,36.6,[36.6%],,,,
0,parallel,2,2,0.5,1.518729743361473,1.4185037165880203,0.001,40.4,[40.4%],,,,
0,parallel,3,3,0.5,1.3897186547517777,1.2760376408696175,0.001,50.8,[50.8%],,,,
0,parallel,4,4,0.5,1.224062967300415,1.377966519445181,0.001,42.0,[42.0%],,,,
0,parallel,5,5,0.49560501500000004,1.1786250561475753,1.276506669819355,0.001,49.0,[49.0%],,,,
0,parallel,6,6,0.478245375,1.1683146387338639,1.0784328654408455,0.001,53.8,[53.8%],,,,
0,parallel,7,7,0.461238215,1.0428932055830955,0.9903069473803043,0.001,56.6,[56.6%],,,,
0,parallel,8,8,0.4445835350000001,0.9301168456673622,1.0568361096084118,0.001,56.4,[56.4%],,,,
0,parallel,9,9,0.42828133500000004,0.9566330164670944,0.945633627474308,0.001,61.8,[61.8%],,,,
0,parallel,10,10,0.412331615,0.8464425697922706,1.0414770934730768,0.001,59.2,[59.2%],,,,
0,parallel,11,11,0.39673437500000003,0.8274474710226059,0.8545358739793301,0.001,66.4,[66.4%],,,,
0,parallel,12,12,0.38148961499999995,0.7882824659347534,0.8531295340508223,0.001,63.0,[63.0%],,,,
0,parallel,13,13,0.36659733499999997,0.7602564141154289,0.7886230461299419,0.001,64.2,[64.2%],,,,
0,parallel,14,14,0.352057535,0.7748652383685112,0.9696887210011482,0.001,61.0,[61.0%],,,,
0,parallel,15,15,0.33787021500000003,0.7965231359004974,0.8029426485300064,0.001,66.0,[66.0%],,,,
0,parallel,16,16,0.324035375,0.7566290214657784,0.8879356449469924,0.001,64.2,[64.2%],,,,
0,parallel,17,17,0.310553015,0.7461516574025154,0.7670782012864947,0.001,68.6,[68.6%],,,,
0,parallel,18,18,0.29742313499999995,0.7035503551363945,0.7696180390194058,0.001,67.4,[67.4%],,,,
0,parallel,19,19,0.28464573500000007,0.7440039157867432,0.7743247225880623,0.001,67.4,[67.4%],,,,
0,parallel,20,20,0.272220815,0.7002985939383507,0.7490763049572706,0.001,66.8,[66.8%],,,,
0,parallel,21,21,0.26014837500000004,0.6958146765828133,1.141392458230257,0.001,55.6,[55.6%],,,,
0,parallel,22,22,0.248428415,0.7406401813030243,0.7523754220455885,0.001,69.2,[69.2%],,,,
