dataset,architecture,step,directory,n_runs,n_unique_seeds,seeds,files,til_mean,til_std,til_min,til_max,cil_znorm_mean,cil_znorm_std,cil_znorm_min,cil_znorm_max
CIF100,Resnet,T10,CIF100/Resnet/T10,5,5,"11,12,17,23,32",inNorm_seed11_kur1_0034_250726.csv;inNorm_seed12_kur1_0034_250726.csv;inNorm_seed17_kur1_0034_250726.csv;inNorm_seed23_kur1_0034_250726.csv;inNorm_seed32_kur1_0034_250726.csv,70.23,0.9636129928555326,69.12,71.28,59.462,3.692041440720838,53.53,62.49
CIF100,Resnet,T20,CIF100/Resnet/T20,5,5,"11,12,17,23,32",inNorm_seed11_kur1_1900_260726.csv;inNorm_seed12_kur1_1900_260726.csv;inNorm_seed17_kur1_1900_260726.csv;inNorm_seed23_kur1_1900_260726.csv;inNorm_seed32_kur1_1900_260726.csv,67.98400000000001,1.5365968892328274,65.36,69.03,36.868,3.117397953422052,32.32,40.75
imagenet,Resnet,T10,imagenet/Resnet/T10,5,5,"11,12,17,23,32",inNorm_seed11_kur1_0038_250726.csv;inNorm_seed12_kur1_0038_250726.csv;inNorm_seed17_kur1_0038_250726.csv;inNorm_seed23_kur1_0038_250726.csv;inNorm_seed32_kur1_0038_250726.csv,49.926,0.8408507596476326,48.57,50.7,38.164,0.5828207271537265,37.59,38.79
imagenet,Resnet,T20,imagenet/Resnet/T20,4,4,"11,12,17,32",inNorm_seed11_kur1_1901_260726.csv;inNorm_seed12_kur1_1901_260726.csv;inNorm_seed17_kur1_1901_260726.csv;inNorm_seed32_kur1_1901_260726.csv,47.29,0.7101173611922655,46.71,48.29,26.96,2.3134534070663,23.99,29.6
