task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.1,3.663154255,2.869888306,0.001,10,[10.0%],,,,
0,parallel,2,2,0.1,2.589815037,2.436775729,0.001,10,[10.0%],,,,
0,parallel,3,3,0.1,2.396591778,2.362974912,0.001,10,[10.0%],,,,
0,parallel,4,4,0.1,2.3511995,2.340739936,0.001,10,[10.0%],,,,
0,parallel,5,5,0.1,2.336696884,2.327346459,0.001,10,[10.0%],,,,
0,parallel,6,6,0.1,2.328944568,2.321260154,0.001,10,[10.0%],,,,
0,parallel,7,7,0.1,2.324867882,2.325029135,0.001,10,[10.0%],,,,
0,parallel,8,8,0.1,2.319718467,2.313963041,0.001,10,[10.0%],,,,
0,parallel,9,9,0.1,2.314158542,2.311907187,0.001,11.6,[11.6%],,,,
0,parallel,10,10,0.1,2.294767829,2.267435402,0.001,15.6,[15.6%],,,,
0,parallel,11,11,0.1,2.259681988,2.233565614,0.001,15.3,[15.3%],,,,
0,parallel,12,12,0.1,2.221007389,2.175113492,0.001,16.1,[16.1%],,,,
0,parallel,13,13,0.1,2.166795646,2.117141366,0.001,18,[18%],,,,
0,parallel,14,14,0.1,2.129690668,2.083901517,0.001,17.5,[17.5%],,,,
0,parallel,15,15,0.1,2.08682236,2.033783808,0.001,20.1,[20.1%],,,,
0,parallel,16,16,0.1,2.042920666,1.989068754,0.001,20.8,[20.8%],,,,
0,parallel,17,17,0.1,2.006909781,2.013574809,0.001,20.1,[20.1%],,,,
0,parallel,18,18,0.1,1.972805683,1.969730347,0.001,26,[26%],,,,
0,parallel,19,19,0.1,1.951864393,1.885828614,0.001,29.9,[29.9%],,,,
0,parallel,20,20,0.1,1.907558577,1.853629202,0.001,29.4,[29.4%],,,,
0,parallel,21,21,0.1,1.877237355,1.846138932,0.001,29.4,[29.4%],,,,
0,parallel,22,22,0.1,1.831246823,1.821850516,0.001,30.9,[30.9%],,,,
0,parallel,23,23,0.1,1.800100467,1.763560481,0.001,33.3,[33.3%],,,,
0,parallel,24,24,0.1,1.772847417,1.715181209,0.001,37,[37%],,,,
0,parallel,25,25,0.1,1.717034224,1.725268513,0.001,36.6,[36.6%],,,,
0,parallel,26,26,0.1,1.693890173,1.652537227,0.001,37.3,[37.3%],,,,
0,parallel,27,27,0.1,1.671120001,1.623540509,0.001,38.2,[38.2%],,,,
0,parallel,28,28,0.1,1.638333099,1.690253131,0.001,36.2,[36.2%],,,,
0,parallel,29,29,0.1,1.624045636,1.645407584,0.001,37.6,[37.6%],,,,
0,parallel,30,30,0.1,1.579667527,1.589017868,0.001,40,[40%],,,,
0,parallel,31,31,0.1,1.5578682,1.617245406,0.001,38,[38%],,,,
0,parallel,32,32,0.1,1.53231363,1.559531257,0.001,38.9,[38.9%],,,,
0,parallel,33,33,0.1,1.504762656,1.53268582,0.001,40,[40%],,,,
0,parallel,34,34,0.1,1.475763223,1.581227794,0.001,40,[40%],,,,
0,parallel,35,35,0.1,1.484096511,1.463707168,0.001,44.5,[44.5%],,,,
0,parallel,36,36,0.1,1.446647365,1.471220978,0.001,43.4,[43.4%],,,,
0,parallel,37,37,0.1,1.438465428,1.465716366,0.001,44.7,[44.7%],,,,
0,parallel,38,38,0.1,1.395482287,1.41501626,0.001,46.9,[46.9%],,,,
0,parallel,39,39,0.1,1.388268062,1.479239941,0.001,43.5,[43.5%],,,,
0,parallel,40,40,0.1,1.39079773,1.462814726,0.001,44.2,[44.2%],,,,
0,parallel,41,41,0.1,1.37939341,1.423430629,0.001,44.8,[44.8%],,,,
0,parallel,42,42,0.1,1.329137998,1.488440756,0.001,44,[44%],,,,
0,parallel,43,43,0.1,1.315371584,1.359882426,0.001,49.6,[49.6%],,,,
0,parallel,44,44,0.1,1.301077607,1.423169747,0.001,45.9,[45.9%],,,,
0,parallel,45,45,0.1,1.302991239,1.380365938,0.001,46.9,[46.9%],,,,
0,parallel,46,46,0.1,1.295658191,1.409416098,0.001,46.4,[46.4%],,,,
0,parallel,47,47,0.1,1.276867992,1.405987881,0.001,47.4,[47.4%],,,,
0,parallel,48,48,0.1,1.2671244,1.326779526,0.001,49.2,[49.2%],,,,
0,parallel,49,49,0.1,1.2417806,1.3144981,0.001,49.2,[49.2%],,,,
0,parallel,50,50,0.1,1.235618584,1.359413598,0.001,49.3,[49.3%],,,,
0,parallel,51,51,0.1,1.224334146,1.327281091,0.001,50.5,[50.5%],,,,
0,parallel,52,52,0.1,1.221607337,1.38540823,0.001,48.6,[48.6%],,,,
0,parallel,53,53,0.1,1.184965333,1.392452776,0.001,49.7,[49.7%],,,,
0,parallel,54,54,0.1,1.198560559,1.309347125,0.001,51.1,[51.1%],,,,
0,parallel,55,55,0.1,1.188593664,1.286564291,0.001,52,[52%],,,,
0,weights,1,56,0.1,1.194868834,1.329292513,0.001,51.6,[51.6%],,,,
0,weights,2,57,0.1,1.140657393,1.235973939,0.001,54.8,[54.8%],,,,
0,weights,3,58,0.1,1.146745467,1.360437792,0.001,49.7,[49.7%],,,,
0,weights,4,59,0.1,1.133881914,1.294412207,0.001,52.4,[52.4%],,,,
0,weights,5,60,0.1,1.157806241,1.286388956,0.001,51.8,[51.8%],,,,
0,weights,6,61,0.1,1.11711472,1.250106914,0.001,53.4,[53.4%],,,,
0,weights,7,62,0.1,1.125615259,1.242591277,0.000333333,53.4,[53.4%],,,,
0,weights,8,63,0.1,1.074974996,1.248475689,0.000333333,53.8,[53.8%],,,,
0,weights,9,64,0.1,1.053992012,1.240950303,0.000333333,54.2,[54.2%],,,,
0,weights,10,65,0.1,1.03497356,1.271728732,0.000333333,53.3,[53.3%],,,,
0,weights,11,66,0.1,1.020348661,1.200478394,0.000333333,55.4,[55.4%],,,,
0,weights,12,67,0.1,1.028506262,1.194408184,0.000333333,56.4,[56.4%],,,,
0,weights,13,68,0.1,1.009852186,1.209016858,0.000333333,55.3,[55.3%],,,,
0,weights,14,69,0.1,1.002882284,1.199841572,0.000333333,54.9,[54.9%],,,,
0,weights,15,70,0.1,1.007118561,1.184988363,0.000333333,56.1,[56.1%],,,,
0,weights,16,71,0.1,0.985426606,1.159075627,0.000333333,55.5,[55.5%],,,,
0,weights,17,72,0.1,0.988834159,1.188561616,0.000333333,57.8,[57.8%],,,,
0,weights,18,73,0.1,0.990008312,1.223406978,0.000333333,55.3,[55.3%],,,,
0,weights,19,74,0.1,0.992584785,1.200835153,0.000333333,55.4,[55.4%],,,,
0,weights,20,75,0.1,0.986242294,1.161819253,0.000333333,57.9,[57.9%],,,,
0,weights,21,76,0.1,0.961891913,1.177499712,0.000111111,56.3,[56.3%],,,,
0,weights,22,77,0.1,0.950300933,1.170167515,0.000111111,57.5,[57.5%],,,,
0,weights,23,78,0.1,0.953948561,1.177975571,0.000111111,56.6,[56.6%],,,,
0,weights,24,79,0.1,0.960272782,1.171209555,0.000111111,57.2,[57.2%],,,,
0,weights,25,80,0.1,0.961024811,1.139441337,0.000111111,57.5,[57.5%],60.5,[60.5%],69.6,[69.6%]
1,parallel,1,1,0.1,3.626070641,2.782707691,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,2,2,0.1,2.538620662,2.415335551,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,3,3,0.1,2.382197102,2.353372246,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,4,4,0.1,2.347398658,2.336253941,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,5,5,0.1,2.331187689,2.326126993,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,6,6,0.1,2.327800597,2.322494626,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,7,7,0.1,2.322212941,2.315770313,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,8,8,0.1,2.318861705,2.313271418,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,9,9,0.1,2.317801397,2.313233137,0.000111111,32.25,"[57.5%, 7%]",,,,
1,parallel,10,10,0.1,2.315018234,2.317545682,0.000111111,33.75,"[57.5%, 10%]",,,,
