task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.1,3.644834829,2.814811304,0.001,10,[10.0%],,,,
0,parallel,2,2,0.1,2.558555084,2.419158503,0.001,10,[10.0%],,,,
0,parallel,3,3,0.1,2.384983048,2.359214127,0.001,10,[10.0%],,,,
0,parallel,4,4,0.1,2.347585672,2.339390919,0.001,10,[10.0%],,,,
0,parallel,5,5,0.1,2.332633776,2.327267647,0.001,10,[10.0%],,,,
0,parallel,6,6,0.1,2.325572035,2.320127711,0.001,10,[10.0%],,,,
0,parallel,7,7,0.1,2.32253435,2.316661566,0.001,10,[10.0%],,,,
0,parallel,8,8,0.1,2.316554637,2.296272546,0.001,10.3,[10.3%],,,,
0,parallel,9,9,0.1,2.292771671,2.259928554,0.001,18.7,[18.7%],,,,
0,parallel,10,10,0.1,2.25744127,2.21889782,0.001,19.2,[19.2%],,,,
0,parallel,11,11,0.1,2.218165069,2.176309958,0.001,20.3,[20.3%],,,,
0,parallel,12,12,0.1,2.188042825,2.135970958,0.001,23.7,[23.7%],,,,
0,parallel,13,13,0.1,2.150507163,2.102345027,0.001,23.4,[23.4%],,,,
0,parallel,14,14,0.1,2.09614946,2.040484346,0.001,27.1,[27.1%],,,,
0,parallel,15,15,0.1,2.05367956,2.003349818,0.001,27.1,[27.1%],,,,
0,parallel,16,16,0.1,2.012379458,1.945299089,0.001,27.8,[27.8%],,,,
0,parallel,17,17,0.1,1.953840858,1.87656983,0.001,32.8,[32.8%],,,,
0,parallel,18,18,0.1,1.909148255,1.854195736,0.001,34.8,[34.8%],,,,
0,parallel,19,19,0.1,1.865094514,1.800421555,0.001,33.5,[33.5%],,,,
0,parallel,20,20,0.1,1.803827345,1.730062153,0.001,36.6,[36.6%],,,,
0,parallel,21,21,0.1,1.759102915,1.704564646,0.001,36.6,[36.6%],,,,
0,parallel,22,22,0.1,1.745095772,1.73841808,0.001,35.7,[35.7%],,,,
0,parallel,23,23,0.1,1.707414466,1.644967034,0.001,37.7,[37.7%],,,,
0,parallel,24,24,0.1,1.657397832,1.641948357,0.001,37.4,[37.4%],,,,
0,parallel,25,25,0.1,1.64233659,1.598519076,0.001,39.2,[39.2%],,,,
0,parallel,26,26,0.1,1.595293303,1.577531371,0.001,42.4,[42.4%],,,,
0,parallel,27,27,0.1,1.582491713,1.554546934,0.001,42.2,[42.2%],,,,
0,parallel,28,28,0.1,1.558931828,1.506079402,0.001,42.9,[42.9%],,,,
0,parallel,29,29,0.1,1.531237305,1.487317976,0.001,43.8,[43.8%],,,,
0,parallel,30,30,0.1,1.508254974,1.504241381,0.001,43.7,[43.7%],,,,
0,parallel,31,31,0.1,1.477179646,1.500867851,0.001,43.7,[43.7%],,,,
0,parallel,32,32,0.1,1.467062076,1.456288062,0.001,44,[44%],,,,
0,parallel,33,33,0.1,1.439105046,1.397476088,0.001,46.2,[46.2%],,,,
0,parallel,34,34,0.1,1.413099873,1.419861685,0.001,45.2,[45.2%],,,,
0,parallel,35,35,0.1,1.402940284,1.379048213,0.001,48,[48%],,,,
0,parallel,36,36,0.1,1.368361856,1.367717646,0.001,48.3,[48.3%],,,,
0,parallel,37,37,0.1,1.341951886,1.365469307,0.001,47,[47%],,,,
0,parallel,38,38,0.1,1.339834209,1.378992407,0.001,47.1,[47.1%],,,,
0,parallel,39,39,0.1,1.318810086,1.33700645,0.001,48.5,[48.5%],,,,
0,parallel,40,40,0.1,1.317188239,1.341218628,0.001,47.3,[47.3%],,,,
0,parallel,41,41,0.1,1.312246022,1.320850492,0.001,49.6,[49.6%],,,,
0,parallel,42,42,0.1,1.284021144,1.315545209,0.001,50.7,[50.7%],,,,
0,parallel,43,43,0.1,1.263996296,1.274428792,0.001,50.9,[50.9%],,,,
0,parallel,44,44,0.1,1.277102062,1.296956711,0.001,51.4,[51.4%],,,,
0,parallel,45,45,0.1,1.223575823,1.285867766,0.001,52,[52%],,,,
0,parallel,46,46,0.1,1.234438097,1.280431431,0.001,51,[51%],,,,
0,parallel,47,47,0.1,1.20401942,1.290012293,0.001,51.6,[51.6%],,,,
0,parallel,48,48,0.1,1.185707069,1.301219728,0.000333333,50.3,[50.3%],,,,
0,parallel,49,49,0.1,1.131605845,1.228017706,0.000333333,52.3,[52.3%],,,,
0,parallel,50,50,0.1,1.107195577,1.232054096,0.000333333,52,[52%],,,,
0,parallel,51,51,0.1,1.101904003,1.198812272,0.000333333,54.1,[54.1%],,,,
0,parallel,52,52,0.1,1.100628067,1.220160898,0.000333333,53.3,[53.3%],,,,
