task_idx,phase,epoch_in_phase,global_epoch,kappa,train_loss,val_loss,lr,til_avg,til_per_task,cil_stand_avg,cil_stand_per_task,cil_znorm_avg,cil_znorm_per_task
0,parallel,1,1,0.5,2.5617419345469417,2.1821053475141525,0.001,23.5,[23.5%],,,,
0,parallel,2,2,0.5,2.060611868206459,2.0067581683397293,0.001,28.8,[28.8%],,,,
0,parallel,3,3,0.5,1.8301837881909142,1.834661103785038,0.001,34.0,[34.0%],,,,
0,parallel,4,4,0.5,1.6660066918481755,1.6563715003430843,0.001,44.5,[44.5%],,,,
0,parallel,5,5,0.4899375100144209,1.523404970953736,1.493356004357338,0.001,49.6,[49.6%],,,,
0,parallel,6,6,0.4743000416599904,1.4048489890521085,1.3340744748711586,0.001,54.9,[54.9%],,,,
0,parallel,7,7,0.45898257330556,1.2900655760040767,1.3906493186950684,0.001,52.9,[52.9%],,,,
0,parallel,8,8,0.44398510495112964,1.2170090433917469,1.2350036203861237,0.001,56.4,[56.4%],,,,
0,parallel,9,9,0.42930763659669924,1.1699195240117326,1.353120932355523,0.001,55.4,[55.4%],,,,
0,parallel,10,10,0.4149501682422688,1.1009141742428648,1.2082240656018257,0.001,58.0,[58.0%],,,,
0,parallel,11,11,0.4009126998878385,1.0728506106364577,1.1465154523029923,0.001,61.4,[61.4%],,,,
0,parallel,12,12,0.3871952315334082,1.017721435691737,1.038336906582117,0.001,65.0,[65.0%],,,,
0,parallel,13,13,0.3737977631789777,0.9794294592700427,1.0297830421477556,0.001,65.8,[65.8%],,,,
0,parallel,14,14,0.36072029482454737,0.9145853692972208,0.9894301192834973,0.001,65.8,[65.8%],,,,
0,parallel,15,15,0.34796282647011695,0.9127462325216849,1.0341676706448197,0.001,64.4,[64.4%],,,,
0,parallel,16,16,0.33552535811568657,0.9216721691662753,1.1063023321330547,0.001,64.0,[64.0%],,,,
0,parallel,17,17,0.32340788976125623,0.8630301944817169,0.9944497756659985,0.001,66.5,[66.5%],,,,
0,parallel,18,18,0.3116104214068258,0.8352167983598346,1.0023252740502357,0.001,66.6,[66.6%],,,,
0,parallel,19,19,0.3001329530523955,0.7992456434648249,0.9683678075671196,0.001,67.5,[67.5%],,,,
0,parallel,20,20,0.2889754846979651,0.7708678950991812,0.9521743822842836,0.001,68.8,[68.8%],,,,
0,parallel,21,21,0.2781380163435347,0.7909347535688666,0.9410426374524832,0.001,68.4,[68.4%],,,,
0,parallel,22,22,0.2676205479891044,0.7427560521077506,0.8481231266632676,0.001,72.0,[72.0%],,,,
0,parallel,23,23,0.257423079634674,0.799855537052396,1.1631889957934618,0.001,63.0,[63.0%],,,,
0,parallel,24,24,0.24754561128024358,0.7720001313505294,0.7899171421304345,0.001,74.1,[74.1%],,,,
0,parallel,25,25,0.2379881429258132,0.7692529227160201,0.9548884648829699,0.001,69.0,[69.0%],,,,
0,parallel,26,26,0.2287506745713828,0.7988736252241497,0.8817593865096569,0.001,71.2,[71.2%],,,,
0,parallel,27,27,0.21983320621695243,0.769807816306247,0.9648301340639591,0.001,67.1,[67.1%],,,,
0,parallel,28,28,0.21123573786252203,0.7805524577822867,0.8347317911684513,0.001,72.3,[72.3%],,,,
0,parallel,29,29,0.20295826950809165,0.792157894448389,0.9702449329197407,0.0003333333333333333,67.5,[67.5%],,,,
0,parallel,30,30,0.1950008011536613,0.6874448924879485,0.8507747408002615,0.0003333333333333333,72.1,[72.1%],,,,
0,parallel,31,31,0.1873633327992309,0.7031765682033345,0.9471727516502142,0.0003333333333333333,67.7,[67.7%],,,,
0,parallel,32,32,0.18004586444480053,0.6992606769634199,0.88872972689569,0.0003333333333333333,71.1,[71.1%],,,,
0,parallel,33,33,0.17304839609037015,0.7318084560617616,0.8883936293423176,0.0003333333333333333,70.5,[70.5%],,,,
0,parallel,34,34,0.16637092773593976,0.8167055807536161,0.9196152277290821,0.0001111111111111111,68.5,[68.5%],,,,
0,parallel,35,35,0.16001345938150938,0.8116823178303393,0.9664435870945454,0.0001111111111111111,68.8,[68.8%],,,,
0,parallel,36,36,0.153975991027079,0.915655320203757,1.0208945348858833,0.0001111111111111111,67.5,[67.5%],,,,
0,parallel,37,37,0.14825852267264863,0.9347456625745266,1.1387270279228687,0.0001111111111111111,63.6,[63.6%],,,,
0,parallel,38,38,0.14286105431821824,0.9657173647156244,1.088038470596075,0.0001111111111111111,65.5,[65.5%],,,,
0,parallel,39,39,0.13778358596378787,1.1306245757054678,1.220686163753271,0.0001111111111111111,61.7,[61.7%],,,,
0,parallel,40,40,0.13302611760935748,1.087433198584786,1.1980567537248135,0.0001111111111111111,62.5,[62.5%],,,,
0,parallel,41,41,0.12858864925492708,1.1508090194267562,1.229679161682725,0.0001111111111111111,61.6,[61.6%],,,,
0,parallel,42,42,0.12447118090049673,1.266914976548545,1.3875799141824245,0.0001111111111111111,56.3,[56.3%],,,,
0,parallel,43,43,0.12067371254606635,1.3006096384193324,1.3017121590673923,0.0001111111111111111,59.3,[59.3%],,,,
0,parallel,44,44,0.11719624419163596,1.2677902541583097,1.2699892036616802,0.0001111111111111111,59.7,[59.7%],,,,
0,parallel,45,45,0.11403877583720558,1.2587783721428882,1.3033284954726696,0.0001111111111111111,59.3,[59.3%],,,,
0,parallel,46,46,0.11120130748277521,1.2458072206642055,1.3130908198654652,0.0001111111111111111,60.2,[60.2%],,,,
0,parallel,47,47,0.10868383912834481,1.4000108445746988,1.4727759845554829,0.0001111111111111111,53.7,[53.7%],,,,
0,parallel,48,48,0.10648637077391443,1.3974419802050047,1.356983795762062,0.0001111111111111111,57.8,[57.8%],,,,
0,parallel,49,49,0.10460890241948406,1.3303301085399677,1.3478321805596352,0.0001111111111111111,57.3,[57.3%],,,,
0,parallel,50,50,0.10305143406505368,1.2997041412546664,1.3178444094955921,0.0001111111111111111,57.9,[57.9%],,,,
0,parallel,51,51,0.1018139657106233,1.2655984563163565,1.2874148711562157,0.0001111111111111111,58.5,[58.5%],,,,
0,parallel,52,52,0.10089649735619292,1.409406378299375,1.3779707476496696,0.0001111111111111111,54.2,[54.2%],,,,
0,parallel,53,53,0.10029902900176255,1.313728862925421,1.3344104439020157,0.0001111111111111111,56.5,[56.5%],,,,
0,parallel,54,54,0.10002156064733217,1.2598452718952033,1.2735912799835205,0.0001111111111111111,57.7,[57.7%],,,,
0,parallel,55,55,0.1,1.2329322748546359,1.2806303165853024,0.0001111111111111111,58.2,[58.2%],,,,
0,weights,1,56,0.1,1.2113722238359572,1.2684028707444668,0.0001111111111111111,58.0,[58.0%],,,,
0,weights,2,57,0.1,1.1846456037291997,1.205738615244627,0.0001111111111111111,60.0,[60.0%],,,,
0,weights,3,58,0.1,1.152355809754963,1.2221483811736107,0.0001111111111111111,60.1,[60.1%],,,,
0,weights,4,59,0.1,1.1480772661257395,1.2006775625050068,0.0001111111111111111,60.6,[60.6%],,,,
